pergunta,assimilacao_um,nota_um,assimilacao_dois,nota_dois,assimilacao_tres,nota_tres
quanto tempo o virus persiste numa superficie?,quanto tempo o novo coronavirus vive em uma superficie ou no ar?,95,quanto tempo esse virus permanece fora do corpo? pode pegar esse virus mais de uma vez?,90,por quanto tempo a doenca pode ficar incubada?,0
a covid-19 acomete apenas idosos?,por que nao sao apenas as pessoas de risco que precisam ficar isoladas?,0,o novo coronavirus afeta apenas as pessoas idosas ou as pessoas mais jovens tambem podem pegar a doenca?,100,existe vacina contra a covid-19?,0
quais as formas de prevencao contra o novo coronavirus? ,mascaras caseiras podem ajudar na prevencao contra o novo coronavirus?,95,como falar sobre formas de prevencao com uma crianca?,95,como e a prevencao contra o novo coronavirus para os profissionais da saude?,95
qual e a definicao de pessoasmonitoradas?,qual e a definicao de caso excluido?,0,qual e a definicao de caso descartado?,0,qual e a definicao de caso confirmado?,0
como e que as pessoas podem ajudar a acabar com o estigma relacionado com o covid-19?,"com as aulas suspensas, as criancas podem brincar na rua? e recomendavel?",0,como as pessoas que precisam trabalhar podem se prevenir de covid-19 ao usarem o transporte publico?,0,quantos e quais hospitais podem receber pacientes com a covid-19?,0
o covid-19 pode causar problemas durante a gravidez?,as criancas nascidas de maes infetadas com covid-19 durante a gravidez correm maior risco de terem complicacoes? ,85,"o coronavirus pode causar sequelas, mesmo depois de curado?",0,como responder para uma crianca o que o novo coronavirus pode causar? ,0
quais os sintomas do covid-19?,quais os sintomas do novo coronavirus?,100,quais sao os sintomas do novo coronavirus?,100,quais os principais sintomas da covid-19?,100
gargarejo com agua quente dose extra de vitamina ou cha matam o virus? ,lavar as maos com pouca agua elimina o virus?,5,"limpar a casa com agua sanitaria, misturada com agua e algum detergente e desinfetante, mata o virus?",0,tomar vitamina c e propolis ajuda a prevenir contra o virus?,95
se um profissional da equipe testar positivo para covid-19 o que a equipe devera fazer?,"o que fazer com os profissionais de enfermagem que tiveram contato com algum enfermeiro, tecnico ou auxiliar que foi diagnosticado com a covid-19?",85,"o profissional de enfermagem com sintomas, que cumpriu o isolamento domiciliar apos 14 dias pode retornar ao trabalho?",15,a equipe de enfermagem esta com deficit de pessoal por conta do afastamento dos grupos de risco. o que pode ser feito?,0
quais sao os equipamentos de protecao individual e para que serve cada um deles quando usar cada um deles?,quando devo usar a mascara de protecao?,75,quais sao os requisitos para um teste rapido ser registrado no brasil?,0,"qual a diferenca da mascara cirurgica, mascara n95 e face shield? quando e por quanto tempo devo usar cada uma?",75
quando chegou ao brasil?,temos casos do novo coronavirus no brasil?,5,quando eu devo usar luvas?,0,como esta a situacao dos aeroportos no brasil?,5
uma mulher lactante que tenha sido infectada pelo coronavirus pode continuar amamentando? ,o covid-19 pode ser passado de uma mulher gravida para o feto ou recem-nascido? ,75,o coronavirus pode ser transmitido pelo ar?,0,a infeccao pelo coronavirus pode provocar sintomas graves?,0
como saber se voce e suspeito de ter a covid-19? ,todas as pessoas devem fazer exame para saber se estao com a doenca?,0,como se prevenir contra a covid-19?,0,qual e a definicao de caso suspeito?,80
antes do aparecimento de sintomas a pessoa pode transmitir a infecao?,uma pessoa que teve coronavirus e se recuperou ainda pode transmitir o virus?,0,uma pessoa infectada pelo novo coronavirus pode transmitir o virus para ate quantas pessoas?,25,"se a pessoa estiver com coronavirus, sem sintomas, e tomar a vacina contra a gripe, o que pode ocorrer?",0
devo viajar?,quais as recomendacoes para quem precisar viajar neste momento?,100,qual e a orientacao para viajantes que retornaram de viagem internacional ou fizeram viagem pelo brasil?,15,como devo limpar as superficies?,0
o que sao testes para deteccao de doencas como a covid-19?,o que sao testes para covid-19? que tipo de amostra e usada nos testes ?,85,como os testes sao feitos?,0,o que sao os testes rapidos?,0
quais sao os hospitais de referencia?,quais sao os hospitais de referencia no brasil onde os pacientes devem ser encaminhados?,100,quais os hospitais referencia para quem esta com suspeita de covid-19?,90,quais sao os sintomas?,0
os fumadores estao em maior risco de doenca grave por covid-19?,qual e a percentagem de doenca ligeira e grave por covid-19?,0,fumantes correm maior risco de infeccao pelo novo coronavirus?,100,todas as pessoas devem fazer exame para saber se estao com a doenca?,0
