,perguntas,respostas,,,
12,e possivel ser contaminado pelo novo coronavirus por meio de comida de restaurante?,"As formas de transmissão habituais são aquelas que levam a secreção da pessoa infectada para as mucosas respiratórias da pessoa suscetível. Isso é que deve ser combatido como prioridade. Então, lavar as mãos é essencial.",,,
13,"e verdade a noticia que tem circulado a respeito de pessoas testando positivo para o coronavirus semanas apos serem consideradas curadas? se sim, o que isso nos diz sobre este virus?","Sim, é verdadeira essa notícia. Alguns pacientes, especialmente na China, voltaram a apresentar resultados positivos em testes laboratoriais, dias após não apresentarem mais sintomas.",,,
14,uma pessoa que teve coronavirus e se recuperou ainda pode transmitir o virus?,"Nos casos leves, em que a pessoa infectada passou por isolamento domiciliar de 14 dias e não apresenta mais sintomas e, nos casos graves, após o exame laboratorial indicar que não há mais vírus no organismo, considera-se que não existe risco de contágio a partir do organismo desse indivíduo.",,,
15,tem alguma temperatura em que o novo coronavirus nao resista?,"O vírus é muito novo. Os estudos são muito novos. Como todo vírus respiratório, a tendência dele é se espalhar mais em ambientes secos e com temperaturas mais baixas. Temperatura mais elevada diminui a atividade do vírus, mas não quer dizer que não haja risco de transmissão. (Pergunta e resposta elaboradas a partir do Fale Conosco do portal Fiocruz)",,,
16,quanto tempo o coronavirus permanece ativo em diferentes superficies?,"As partículas virais liberadas junto com a saliva podem permanecer flutuando no ar por cerca de 40 minutos e até 2h30min. Os vírus que se depositam sobre uma superfície, dependendo das características dessa superfície, podem permanecer viáveis por algumas horas ou até dias.",,,
17,como e feito o diagnostico do coronavirus?,"A partir da coleta de amostras respiratórias de pacientes considerados suspeitos, são realizados testes baseados em técnicas de biologia molecular.",,,
18,o numero de casos notificados e inferior ao real?,"Sim. Não temos testes em quantidade suficiente para atender a demanda, então é possível que haja subnotificação.",,,
19,o ministerio da saude tem uma plataforma para acompanhamento em tempo real da epidemia?,"O Ministério da Saúde publica informações sobre a epidemia, boletins epidemiológicos, painéis sobre a situação brasileira e dos estados, publicações e documentos sobre coronavírus.",,,
20,quais sao os criterios para aplicacao do teste? pessoas com sintomas leves nao estao sendo testadas?,"Pessoas com dificuldade respiratória têm prioridade porque não há kits suficientes para todos que procuram os serviços de saúde. O paciente que não tiver sintoma grave deve ficar em casa, isolado da família em um cômodo e com acesso a um banheiro exclusivo, se for possível. Além disso, não deve compartilhar objetos, como talheres e outros utensílios e os cuidados de higienização devem ser redobrados em toda a residência. Isso evita a disseminação da doença.",,,
21,como obter informacoes sobre o kit para deteccao do novo coronavirus? a distribuicao so e feita para os laboratorios centrais de saude publica (lacens)?,"A produção da Fiocruz é exclusivamente voltada para o Ministério da Saúde, que realiza a distribuição nacional para os laboratórios de referência. A Fundação Oswaldo Cruz não comercializa ou doa seus produtos para empresas particulares ou instituições públicas, exceto em casos de excedentes de estoque. ",,,
22,como posso fazer o teste de diagnostico na fiocruz?,O laboratório de referência da Fiocruz realiza testes em materiais que são coletados nas unidades de saúde e enviados para a Fundação Oswaldo Cruz pelos laboratórios centrais de saúde pública. A Fiocruz não realiza a coleta diretamente com os cidadãos. ,,,
23,lavar as maos com pouca agua elimina o virus?,O mais importante é que as mãos sejam bem esfregadas com sabão e não a quantidade de água utilizada.,,,
24,"para higienizacao, na falta de agua na torneira, e possivel lavar as maos usando agua de uma garrafa pet ou de um outro reservatorio qualquer?","Sim, sendo água limpa, não tem problema. ",,,
25,"com as aulas suspensas, as criancas podem brincar na rua? e recomendavel?","As crianças não devem sair na rua neste período de recomendação de isolamento social, pois muitas pessoas podem ter o vírus, mesmo sem apresentarem os sintomas.",,,
26,"como se prevenir da covid-19 tendo que sair para trabalhar e morando em casas pequenas, com muitas pessoas? isso ja nao e uma aglomeracao?","Como poder dar segurança às pessoas que moram em aglomerações é um desafio. É preciso proteger os demais para impedir uma propagação muito rápida do coronavírus e o ideal é que as pessoas que tenham qualquer sintoma não tenham contato com as demais, porque isso leva a transmissão.",,,
27,e preciso ter algum cuidado especial com as roupas?,"Não é necessário, basta lavá-las normalmente com água e sabão.",,,
28,podemos levar agua e sabao para a rua como alternativa ao alcool gel?,"Não é necessário, basta lavá-las normalmente com água e sabão.",,,
29,quantas mascaras de tecido devo ter?,"Segundo o Ministério da Saúde, é recomendável que cada pessoa tenha 5 máscaras de pano. A máscara deve ser trocada quando estiver úmida ou suja, e também quando completar 2h de uso.",,,
30,como as pessoas que precisam trabalhar podem se prevenir de covid-19 ao usarem o transporte publico?,"Uma das maiores prevenções é manter distância entre as pessoas. Por isso, o ideal é que os passageiros não fiquem muito próximos, evitando especialmente os que apresentem sintomas de gripe como espirro ou tosse. Além disso, o Ministério da Saúde recomenda e a Fiocruz reitera a recomendação do uso de máscaras (compradas ou caseiras) em larga...  ",,,
31,como posso fortalecer minha imunidade para me proteger do novo coronavirus?,"É importante manter uma alimentação saudável, praticar exercícios físicos, não fumar, não usar drogas e não consumir bebidas alcoólicas, priorizando fazer coisas que lhe deem prazer (mas sempre respeitando a recomendação de não sair de casa).",,,
32,"limpar a casa com agua sanitaria, misturada com agua e algum detergente e desinfetante, mata o virus?","O uso de um produto de limpeza é suficiente. Cuidado com a mistura de vários produtos diferentes, pois podem ocorrer reações químicas e liberação de substâncias tóxicas.",,,
33,como reforcar a imunidade de pessoas em favelas que precisam trabalhar?,"Dormir e se alimentar bem. Cuidados de higiene das mãos, evitar tocar o rosto. A pessoa que sai para trabalhar se expõe mais e deve estar mais atenta e cuidadosa. O Ministério da Saúde recomenda o uso de máscaras (compradas ou caseiras) ao sair de casa.",,,
34,qualquer sabao serve para higienizar?,"Sim. E só é preciso lavar as mãos se houver contato externo. E é higienizar todo objeto vindo da rua com com água e sabão ou álcool a 70%, em gel ou líquido. Frutas, legumes e verduras devem ser colocados em uma solução de água sanitária (...)",,,
35,ferver a comida mata o coronavirus?,"Sim, mata este e outros agentes infecciosos. Alimentos crus devem ser evitados porque não conhecemos a procedência e como foram manuseados. Para limpar verduras, legumes e frutas, use uma solução com água sanitária (...)",,,
36,como se prevenir em um lugar pequeno onde moram muitas pessoas e que saem para trabalhar? inverter as posicoes na cama ajuda?,"Se alguém apresentar algum sintoma deve se isolar. É preciso designar locais onde o sintomático fique distante das outras pessoas e também é indicado o uso de máscaras cirúrgicas, se possível, ou conforme a orientação do Ministério da Saúde para máscaras compradas ou caseiras.",,,
37,como se prevenir contra o coronavirus?,"Neste momento de pandemia do novo coronavírus, é muito importante que você siga as orientações do Ministério da Saúde e dos governos estaduais e municipais. Cada um de nós precisa fazer a sua parte.
- Lavar as mãos frequentemente com água e sabão por pelo menos 20 segundos, incluindo o espaço entre os dedos, unhas e punhos;
- Lavar as mãos principalmente antes de comer e após tossir ou espirrar
- Se não tiver água e sabão, usar desinfetante para as mãos a base de álcool
- Evitar tocar nos olhos, nariz e boca com as mãos não lavadas;
- Usar lenço descartável para higiene nasal;
- Cobrir nariz e boca ao espirrar ou tossir com um lenço de papel descartável ou com a parte interna do cotovelo (nunca as mãos);
- Não compartilhar objetos de uso pessoal, como talheres, pratos, copos ou garrafas;
- Manter os ambientes bem ventilados;
- Limpar e desinfetar objetos e superfícies tocados com frequência, como celulares;
- Evitar contato com pessoas que não estejam no seu convívio muito próximo; 
- Evitar sair de casa; 
- Se precisar sair, usar máscara (comprada ou caseira) como medida de proteção coletiva;
- Evitar locais de aglomeração; 
- Pessoas doentes devem permanecer em casa e, caso a doença se agrave, procurar a unidade básica de saúde; 
- Grupos vulneráveis , como idosos, crianças, gestantes, pessoas com doenças crônicas ou com imunodeficiência, devem ficar mais atentos às manifestações clínicas;
- Profissionais de saúde devem utilizar medidas de precaução padrão, de contato e de gotículas (máscara cirúrgica, luvas, avental não estéril e óculos de proteção).",,,
38,quais as orientacoes para higienizacao de alimentos para prevenir a covid-19?,"Assim que os alimentos chegam em casa, é importante fazer a higienização de cada item. Se o alimento for embalado, a lavagem com água e sabão ou desifecção com álcool a 70% é suficiente. Em relação a verduras, legumes e frutas, o uso de água sanitária é recomendado, na proporção de uma colher de sopa para cada litro de água.",,,
39,mascaras caseiras podem ajudar na prevencao contra o novo coronavirus?,"Sim. A partir de abril de 2020, o Ministério da Saúde passou a recomendar à população brasileira o uso de máscaras e a orientar a produção de máscaras caseiras, de pano, como alternativa mais simples para a proteção das pessoas e forma de conter a propagação de Covid-19. Segundo o Ministério da Saúde, além de eficiente, a máscara é um equipamento simples, que não exige grande complexidade na sua produção e pode ser um grande aliado no combate à propagação do coronavírus no Brasil, protegendo você e outras pessoas ao seu redor. A confecção de máscaras caseiras tem se tornando um fenômeno mundial e qualquer cidadão pode fazer a sua em casa. Veja mais orientações sobre como fabricar a sua máscara acessando o site do Ministério da Saúde: ",,,
40,quais os procedimentos de higienizacao de roupas e calcados apos a utilizacao em ambientes externos?,"É importante analisar sobre quais ambientes externos estamos falando. Se for um hospital, o rigor deverá ser maior do que se for um escritório, por exemplo. Mas, de modo geral, devido à disseminação da doença, ao chegar de qualquer lugar o ideal é que a pessoa tire a roupa (que deve ter um local específico para ela) e tome um banho.",,,
41,ha necessidade de desinfectar alimentos entregues em casa? e como fazer no caso de frutas e legumes?,"A transmissão do coronavírus ocorre por meio de gotículas de saliva, espirro, tosse, catarro, contato pessoal próximo (como toque ou aperto de mão) e contato com objetos ou superfícies contaminadas. Para evitar doenças, de modo geral, é fundamental a higienização. Se o alimento for embalado, uma solução desinfetante é suficiente.",,,
42,a utilizacao das mascaras e recomendada para evitar o coronavirus?,"Sim. A recomendação de uso de máscaras (compradas ou caseiras) em larga escala tem como base a proteção coletiva, uma vez que muitas pessoas estão infectadas e ainda não apresentaram sintomas da doença. A Fiocruz reitera as orientações e instruções do Ministério da Saúde sobre confecção e lavagem de máscaras caseiras.",,,
43,qual e o tempo de incubacao do novo coronavirus?,"O ""período de incubação"" se refere ao tempo entre a infecção do ser humano pelo vírus e o início dos sintomas da doença. De acordo com a Organização Mundial da Saúde (OMS), no caso da Covid-19 esse intervalo varia de 1 a 14 dias, geralmente ficando em torno de 5 dias.",,,
44,em quanto tempo uma pessoa infectada de forma leve esta curada da doenca?,"Em média, as pessoas começam a melhorar a partir do sétimo dia e ficam boas em cerca de 10 dias, devendo ficar isoladas no mínimo por até 14 dias após o início dos sintomas.",,,
45,como diferenciar uma crise alergica dos sintomas do coronavirus? todo infectado que manifesta sintomas tera febre?,"Os sintomas da Covid-19 são parecidos com os da gripe e, portanto, podem ser confundidos com os de várias outras doenças. Pode ou não haver febre, embora ela seja um sintoma bastante comum. Na alergia respiratória, os sintomas, geralmente, são espirros, tosse, olhos irritados e coriza. O importante é se resguardar e, em caso de piora significativa do quadro, procurar uma unidade de saúde. Para outras informações, acesse o quadro comparativo entre coronavírus, resfriado e gripe.",,,
46,a infeccao pelo coronavirus pode provocar sintomas graves?,"Sim. A maioria das pessoas infectadas apresenta sintomas leves ou moderados, mas a Covid-19 pode evoluir de forma grave e, inclusive, causar a morte do paciente. Embora as formas mais graves se manifestem principalmente em pessoas com doenças crônicas chamadas “fatores de risco”, todas as pessoas e todas as faixas etárias podem desenvolver quadros mais agressivos. Por isso, o mais importante é adotar as medidas preventivas, como o distanciamento social, a higienização frequente das mãos com álcool gel 70% ou água e sabão, e o uso de máscaras se for necessário sair de casa.",,,
47,quais os sintomas do coronavirus?,"Os sinais clínicos mais comuns da Covid-19 são principalmente respiratórios, semelhantes aos de um resfriado: tosse, febre, coriza e dor de garganta. Alguns casos evoluem para pneumonia, caracterizada por dificuldades respiratórias. Recentemente, as perdas de olfato e de paladar foram reconhecidas como sintomas associados. Há, ainda, outros sintomas menos comuns, como conjuntivite, náuseas, dor de estômago, diarreia, dor de cabeça e lesões de pele e alteração do nível de consciência. Por se tratar de uma doença nova, o conhecimento a respeito da Covid-19 está em constante evolução, conforme novas pesquisas são publicadas.",,,
48,uma mulher lactante que tenha sido infectada pelo coronavirus pode continuar amamentando?,"Para as mães com suspeita ou diagnóstico confirmado de Covid-19, o aleitamento materno pode ser mantido, desde que sejam observadas as medidas de prevenção recomendadas, como lavar as mãos e antebraços antes de tocar no bebê na hora da mamada e usar máscara facial durante a amamentação. Se for fazer a extração do leite, é importante higienizar adequadamente a bomba e os recipientes. Embora ainda não existam estudos que confirmem se há ou não transmissão do novo coronavírus por meio do leite materno, os benefícios da amamentação superam quaisquer riscos potenciais de transmissão do vírus.",,,
49,"pessoas
 que usam medicacao para doencas pre-existentes, se infectadas pelo novo
 coronavirus, devem interromper ou modificar seus tratamentos?","Não. Especialistas alertam que pessoas com doenças pré-existentes e/ou comorbidades, antes de interromper qualquer medicação ou tratamento, devem consultar um profissional médico.",,,
50,fumantes correm maior risco de infeccao pelo novo coronavirus?,"Sim. Fumar danifica os pulmões e outras partes do corpo. Além disso, aumenta o risco de desenvolvimento da forma grave da Covid-19.",,,
51,a tuberculose coloca a  pessoa em um grupo de risco?,"Sim, a tuberculose e todas as outras doenças respiratórias.",,,
52,quais sao as pessoas consideradas como grupo de risco?,"Pessoas com anemia falciforme, problemas respiratórios, fumantes de longa data, hipertensos, diabéticos, pessoas com doenças crônicas e idosos devem ter um cuidado ainda maior. ",,,
53,"pessoas com doencas de pele, como erisipela e urticaria, fazem parte do grupo de risco?"," Não diretamente. A questão do tratamento deve ser observada, porque alguns tratamentos utilizam medicamentos que reduzem a imunidade e, se usadas por um longo tempo, podem colocar esta pessoa em uma situação de maior vulnerabilidade.",,,
54,como se da o atendimento em postos de saude a pacientes suspeitos de coronavirus?,"Postos de saúde, em regiões que já identificaram transmissão comunitária de coronavírus, passam a adotar nova metodologia de atendimento para pacientes que buscam as unidades com sintomas característicos do Covid-19, como febre junto com tosse, dor de garganta ou dificuldade respiratória. O Ministério da Saúde, em parceria com as entidades integrantes do Centro de Operações de Emergência (COE) do coronavírus, criou a ferramenta de triagem rápida (Fast Track), um protocolo de fluxo de atendimento para ser utilizado durante a emergência do coronavírus. O novo método irá acelerar o atendimento de casos suspeitos pelas equipes da Atenção Primária nos postos de saúde, impedindo a circulação e o contágio do vírus nesses ambientes.A medida é voltada para pacientes com risco de infecção pelo novo coronavírus, priorizando pacientes do grupo de risco, como idosos e pessoas com doenças crônicas e autoimunes, gestantes e puérperas (até 45 dias após o parto). Assim que chegarem ao posto de saúde com os sintomas de gripe, os pacientes serão encaminhados para um ambiente de isolamento respiratório, evitando a circulação e contágio local de outros pacientes.",,,
55,antibioticos sao eficazes na prevencao ou tratamento de covid-19?,"Não. Os antibióticos não funcionam contra vírus, eles funcionam apenas em infecções bacterianas. A Covid-19 é causada por um vírus, portanto os antibióticos não funcionam. Antibióticos não devem ser usados ​​como um meio de prevenção ou tratamento de Covid-19.",,,
56,como e feito o tratamento contra o coronavirus?,Não existe uma medicação específica para o vírus. O tratamento é feito com base nos sintomas individuais de cada paciente.,,,
57,quais remedios nao podem ser utilizados por quem tem sintomas da covid-19?,"Qualquer remédio deve ser utilizado com prescrição e orientação médica. Não recomendamos o uso de medicação por conta própria. Os medicamentos de uso contínuo, para outras indicações, também não devem ser suspensos por conta própria. Sempre procure atendimento médico se você acha que pode ter Covid-19.",,,
58,a azitromicina funciona no tratamento contra a covid-19?,"Azitromicina é um antibiótico e, portanto, não ataca vírus. Os antibióticos são indicados apenas contra bactérias. (Pergunta e resposta elaboradas a partir do Fale Conosco do portal Fiocruz)",,,
59,"existe alguma vacina, medicamento ou tratamento para o covid-19?","Até o momento, não há nem vacina nem medicamento antiviral específico para prevenir ou tratar a Covid-19.",,,
60,como deve ser feito o periodo de quarentena em casa para quem esta com sintomas?,"Deve ser um período de isolamento domiciliar, evitando contato também com os outros moradores da casa, especialmente se forem idosos ou pessoas com doenças crônicas. Adotar uso de máscara cirúrgica, não compartilhar objetos, lavar frequentemente as mãos, lavar frequentemente o nariz com soro fisiológico.",,,
61,como se manter ativo durante o isolamento gerado pela pandemia de covid-19?,"Para que possamos voltar às nossas rotinas o mais breve possível, o isolamento social é o principal foco no momento. Naturalmente, essa mudança traz uma alteração significativa na nossa atividade física diária e em todas as atividades que realizamos diariamente e que nos demandam algum gasto calórico.",,,
62,o novo coronavirus e o mesmo que os virus sars ou mers?,"Não. Os coronavírus pertencem a uma grande família de vírus, que podem circular tanto entre pessoas, como entre animais, incluindo camelos, gatos e morcegos. O recém-identificado coronavírus não é o mesmo que o coronavírus que provoca a Síndrome Respiratória do Oriente Médio (Mers) ou a Síndrome Respiratória Aguda Grave (Sars). Existem investigações em andamento para saber mais. Esta é uma situação em rápida evolução e as informações serão atualizadas à medida que estiverem disponíveis.",,,
63,como esta a situacao dos aeroportos no brasil?,"Acompanhe as ações da Agência Nacional de Vigilância Sanitária (Anvisa), órgão responsável pelas medidas adotadas nos aeroportos. ",,,
64,a vacina para influenza pode proteger tambem contra o novo coronavirus?,"Não. Tratam-se de vírus diferentes. Porém, neste momento irá auxiliar os profissionais de saúde na exclusão do diagnóstico para coronavírus, já que os sintomas são parecidos. E, ainda, ajuda a reduzir a procura por serviços de saúde. ",,,
65,qualquer hospital pode receber paciente com coronavirus?,"Para um correto manejo clínico desde o contato inicial com os serviços de saúde, é preciso considerar e diferenciar cada caso. Os casos graves devem ser encaminhados a um hospital de referência estadual para isolamento e tratamento. Os casos suspeitos leves podem não necessitar de hospitalização, sendo acompanhados pela Atenção Primária e instituídas medidas de precaução domiciliar. Porém, é necessário avaliar cada caso.",,,
66,"se a pessoa estiver com coronavirus, sem sintomas, e tomar a vacina contra a gripe, o que pode ocorrer?","Ainda não há estudos específicos sobre a interação entre o novo coronavírus e a vacina da gripe (ou outras vacinas) em portadores assintomáticos. Pela composição da vacina e pelo que já se sabe do novo coronavírus até o momento, no entanto, acredita-se que não deve haver nenhuma interação importante e que é seguro que essas pessoas sejam vacinadas. ",,,
67,quem mora com pessoas consideradas do grupo de risco tambem pode ser classificado como do grupo de risco?,"Não. Mas qualquer pessoa é capaz de transmitir o vírus para outras. Nesta situação de morar com alguém do grupo de risco é fundamental manter os cuidados de higiene pessoal, em especial a lavagem das mãos. E, no caso de morar com pessoas idosas, deve tentar se afastar delas se aparecerem sintomas de complicações respiratórias.",,,
68,"caso alguma pessoa da minha casa receba a recomendacao medica de fazer quarentena por suspeita de covid-19, como proteger os demais moradores?","Se possível, destine apenas um cômodo da casa para essa pessoa ficar enquanto permanecer com sintomas e mantenha o espaço bem ventilado. É importante que ela utilize máscara e não receba visitas, assim como não deve compartilhar pratos, copos ou talheres. Além disso, é importante que todos lavem as mãos, várias vezes durante o dia.",,,
69,qual e a orientacao para viajantes que retornaram de viagem internacional ou fizeram viagem pelo brasil?,"Se você voltou de viagem nacional ou internacional, recomenda-se isolamento domiciliar voluntário por 14 (quatorze) dias após o desembarque, mesmo que não tenha apresentado os sintomas. Caso tenha febre ou tosse ou dificuldade para respirar, ligue 136 ou procure um posto de saúde e informe o seu histórico de viagem.",,,
70,"o coronavirus pode causar sequelas, mesmo depois de curado?","A doença ainda é muito nova e, por isso, suas consequências são desconhecidas. As infecções graves podem deixar um certo grau de fibrose pulmonar, da mesma forma que ocorre em outras pneumonias. Além disso, existem estudos sobre sequelas nos rins, coração e sistema nervoso central. Tais ocorrências se dariam em parte dos pacientes que passaram pela internação em UTIs. A maior parte dos casos, entretanto, evolui para uma melhora sem sequelas.",,,
71,a fiocruz vai testar a hidroxicloroquina e a cloroquina para pacientes de covid-19?,"No momento a Fiocruz está liderando no Brasil uma pesquisa chamada Ensaio Clínico Solidariedade, cujo protocolo é determinado pela Organização Mundial da Saúde. Inicialmente, essa pesquisa envolvia o uso da hidroxicloroquina em uma fração dos participantes. Contudo, recentemente a OMS decidiu interromper os testes com a hidroxicloroquina porque os resultados iniciais demonstraram que não houve diferença nos desfechos clínicos das pessoas com COVID-19, e ainda havia um aumento dos eventos adversos, o que significa a exposição dos voluntários a riscos desnecessários. Esses resultados foram corroborados por outras pesquisas realizadas em outros países. Como o protocolo do Ensaio Clínico Solidariedade é de gestão da OMS, todos os centros participantes do mundo, inclusive a Fiocruz, devem seguir o protocolo de acordo com o determinado pela organização. ",,,
72,quando comecam os atendimentos no centro hospitalar e a pesquisa internacional sobre covid-19 na fiocruz?,"A unidade, construída em menos de dois meses, na sede da Fiocruz, em Manguinhos, começou a receber, no dia 19 de maio, pacientes com Covid-19 transferidos pela central estadual de regulação de vagas.Por se tratar de uma unidade hospitalar sem atendimento de emergência, os doentes chegam ao hospital transferidos de outras unidades de saúde.",,,
73,por que o isolamento social nao se restringe somente a pessoas do grupo de risco?,"Porque todas as pessoas podem ter um papel na transmissão. As curvas de transmissão sobem de forma bastante íngreme em um cenário onde cada pessoa infectada transmite para cerca de três outras pessoas. Se um indivíduo infectado transmite para três outras pessoas, depois essas três transmitem para mais três cada uma, ao final de 10 níveis, temos mais de 60 mil casos a partir do primeiro. Sendo assim, as pessoas com menos riscos de complicação têm um papel importante na disseminação do vírus. Cada pessoa que fica em casa, deixa de contribuir para a circulação do vírus e diminui a possibilidade de transmitir para uma pessoa do grupo de risco. Vale lembrar que o risco de complicações não é exclusivo das pessoas que fazem parte do grupo de risco. ",,,
74,tenho alguem de grupo de risco em casa. como posso protege-la de covid-19?,"Higienize bem as mãos com água e sabão ou álcool a 70%, líquido ou gel. O uso de máscaras também é importante, tanto para você quanto para a outra pessoa. Se você tiver algum sintoma da doença, o ideal é que não frequentem no mesmo ambiente. Se estiver tossindo ou espirrando, faça sempre o uso de lenços de papel (que devem ser logo descartados na lata de lixo) ou utilize o braço/antebraço. É importante não compartilhar talheres, pratos, copos e outros objetos. O ideal, se possível, é que o banheiro também seja exclusivo.",,,
75,existe alguma orientacao especifica para gestantes que comecem a apresentar sintomas de covid-19?,"É importante a gestante procurar alguma unidade de saúde imediatamente, para que ela possa ser avaliada, receba orientações e seja também monitorada nos 14 dias seguintes. Como se trata de uma doença nova, não se sabe com certeza dos impactos para as gestantes. ",,,
76,e arriscado que as criancas saiam de casa somente para visitar os avos?,"Sim. Se no trajeto as crianças tiverem contato com uma pessoa doente ou alguma superfície contaminada, elas podem contrair o vírus e infectar os avós, que são do grupo de risco. Por isso a recomendação é manter distância, evitar contato físico, permanecer em casa, sair somente se necessário e higienizar as mãos com frequência.",,,
77,existe algum canal direto com o ministerio da saude para tirar duvidas sobre o novo coronavirus?,"Sim. Para manter a população e profissionais de saúde informados a respeito do novo coronavírus, o Ministério da Saúde lançou um canal exclusivo e gratuito no WhatsApp. Por meio da ferramenta, é possível receber orientações sobre a doença, sobre o tratamento e até protocolo de atendimento para profissionais dos postos de saúde.Um bot (robô de atendimento automático) recebe perguntas e fornece orientações sobre o coronavírus. A programação do robô inclui recomendações sobre como agir frente a casos suspeitos, formas de contaminação, prevenção, ações do Ministério e desmistificação de boatos sobre o vírus.",,,
78,que tipos de casos de covid-19 serao atendidos no hospital que a fiocruz vai construir?,"O Centro Hospitalar será dedicado a casos graves de Covid-19, de forma que 100 dos 200 leitos serão disponibilizados para pessoas com necessidade de cuidados intensivos, inclusive com ventilação mecânica por meio de respiradores.",,,
79,como fazer a prevencao entre idosos que precisam de cuidados?,"Eles devem ficar em casa e os cuidadores precisam evitar o contato direto, como beijos e abraços. É importante, também neste caso, que os cuidados de higiene sejam seguidos à risca.",,,
80,"que medidas devem ser seguidas por passageiros e motoristas e transporte coletivo, como onibus, mototaxis e vans?","Evitar lotação é mais seguro para todos os envolvidos. Caso não seja possível, deve-se evitar horários de pico, quando esses transportes estão mais cheios. É preciso usar máscara, evitar tocar boca e nariz, além de fazer a higienização das mãos assim que descer do veículo. No caso específico de mototáxi, não pode compartilhar capacete, já que isso aumenta o risco de infecção. ",,,
