pergunta_um,pergunta_dois
As bactérias fecais são realmente prejudiciais à saúde em comparação com outras bactérias quando você está grávida?,Estou grávida de 12 semanas e fui ontem à praia. Li que bactérias fecais nas praias podem ser prejudiciais durante a gravidez. É assim?
A hipnoterapia é perigosa?,Os efeitos da hipno-terapia são permanentes? Ouvi dizer que eles podem ser perigosos. É verdade?
A hipnoterapia é perigosa?,Tenho ansiedade e meu médico aconselhou exercícios respiratórios. Estou pensando em hipno-terapia.
É normal ter náuseas e perda de apetite durante a menstruação?,Alguém pode estar grávida durante a menstruação?
É normal ter náuseas e perda de apetite durante a menstruação?,Ei doutor! Comecei minha menstruação ontem. Tenho vontade de vomitar o tempo todo e não tenho apetite. Como posso tratar isso?
Meu filho tem baixo nível de fosfatase alcalina em seus resultados de laboratório. Por quê?,Os testes de função hepática podem detectar o câncer?
Meu filho tem baixo nível de fosfatase alcalina em seus resultados de laboratório. Por quê?,Ei! Os relatórios de Jason estão de volta. Mostra o nível de fosfatase alcalina: 40 IU / L. É baixo para uma criança? Devemos ver o médico antes?
"Meu marido tem coceira crônica sem erupções na pele / urticária. Ele consultou um alergista, dermatologista, acupunturista e terapeuta. Bloodwork negativo alguma ideia?","Não tenho certeza do que isso parece: coceira por mais de 5 anos, sem erupções na pele, sem urticária. Os exames de sangue estão normais. Consultado todos os especialistas, incluindo dermatologista, acupunturista, médico alérgico E um terapeuta."
"Meu marido tem coceira crônica sem erupções na pele / urticária. Ele consultou um alergista, dermatologista, acupunturista e terapeuta. Bloodwork negativo alguma ideia?",Qual é o tratamento para a psoríase?
"Minha filha de seis anos tomou antibióticos por mais de 48 horas e começou a ter febre acima de 101 e ela diz que está com dor de cabeça. Devo levá-la de volta? Recebeu antibióticos para infecções sinusais, mas está ficando irritada com a tosse. Ela tem historia","Se houver febre persistente mesmo depois de tomar 4 doses de antibióticos (mais de 48 horas), isso significa que não está funcionando? A tosse é a mesma de antes. Devemos voltar para o pronto-socorro? Ela tem 6 anos, eu não posso vê-la assim. :("
"Minha filha de seis anos tomou antibióticos por mais de 48 horas e começou a ter febre acima de 101 e ela diz que está com dor de cabeça. Devo levá-la de volta? Recebeu antibióticos para infecções sinusais, mas está ficando irritada com a tosse. Ela tem historia",Os antibióticos devem ser prescritos para crianças com menos de 10 anos?
"P. Olá, estou grávida de quase 12 semanas e minha comida continha pequenas partículas de plástico (por engano), por isso estou preocupada; no caso de eu engolir acidentalmente algum: (?",Acabei de perceber que ingeri alguns pedaços de filme plástico com minha comida. Isso prejudicaria meu bebê? Tenho que cumprir minha consulta de 3 meses amanhã. Devo perguntar ao médico?
"P. Olá, estou grávida de quase 12 semanas e minha comida continha pequenas partículas de plástico (por engano), por isso estou preocupada; no caso de eu engolir acidentalmente algum: (?",É saudável comer peixe durante o primeiro trimestre da gravidez? Acabei de comprar um pouco ontem e abri a folha de plástico. Embora eu deva perguntar antes de comer.
Voz assustadora. Como posso obter uma voz mais masculina?,Minha voz parece muito aguda em comparação com o resto da minha classe. Tem algum problema comigo? O que posso fazer para melhorar? Existem suplementos para ajudar?
Voz assustadora. Como posso obter uma voz mais masculina?,"Quando começam as mudanças da puberdade nos homens? Estou irritada com minha estatura baixa, tamanho reduzido de meu pênis e voz feminina. :("
"Desde que eu era criança minhas juntas sempre estalaram, mas com o passar dos anos ficou muito dolorido especial quando chove ou eu estou com frio? Como faço para corrigir?",Estou atualmente com 17 anos. Não tenho histórico de problemas conjuntos. Comecei a sentir dores nas articulações durante a estação chuvosa ou fria. Está relacionado ao meu hábito de infância de clicar nas articulações?
"Desde que eu era criança minhas juntas sempre estalaram, mas com o passar dos anos ficou muito dolorido especial quando chove ou eu estou com frio? Como faço para corrigir?",Meus dedos são muito longos e acho que posso estendê-los de maneira anormal. É algo para se preocupar. Não tenho dor ou inchaço.
Foi tratado para DIP causada por VB apenas com uma dose de azitromiacina e injeção de antibióticos. PID nunca foi embora. O que devo fazer?,Tenho coceira e corrimento vaginal. Eu tenho fermento ou é algo sério?
Foi tratado para DIP causada por VB apenas com uma dose de azitromiacina e injeção de antibióticos. PID nunca foi embora. O que devo fazer?,Uma única dose de azitromicina é útil no tratamento de PID? Já tomei junto com a injeção de antibiótico. Mas ainda tenho os sintomas. :(
Quais são as causas do abscesso perianal?,Ei! Quer saber se o sexo desprotegido pode causar abcesso no orifício anal? O que mais poderia causar isso?
Quais são as causas do abscesso perianal?,"Acho que estou com hemorróida. Não tenho certeza, mas estou tendo pus no ânus. Pode ser um abscesso?"
O que um médico faz na fissura anal crônica externa e por favor me diga que o processo de cirurgia da fissura anal crônica fora da minha anal é pequena?,Tenho diarreia com sangue há 2 dias. Devo ir ao pronto-socorro?
O que um médico faz na fissura anal crônica externa e por favor me diga que o processo de cirurgia da fissura anal crônica fora da minha anal é pequena?,Acho que tenho fissura anal. Eu os tenho há algum tempo. Eu tenho um compromisso amanhã. Que tratamento devo discutir com o médico? Cirurgia ou médico?
O que você recomenda para tratar um ligamento longitudinal posterior seccionado?,Estou fazendo um projeto na coluna vertebral. Pode me ajudar?
O que você recomenda para tratar um ligamento longitudinal posterior seccionado?,Meu relatório de ressonância magnética foi publicado e mostra rotura pós-ligamento longitudinal. Existe um tratamento para isso?
"O que é mecobalamina? Para que é usado este medicamento? Minha mãe é diabética, esse remédio tem utilidade? Agradeço antecipadamente",Ei! E atualizo sobre a dormência e formigamento que tive no meu pé. Meu médico acha que é um problema de nervo e me prescreveu injeções de Vit B12.
"O que é mecobalamina? Para que é usado este medicamento? Minha mãe é diabética, esse remédio tem utilidade? Agradeço antecipadamente",Minha mãe é diabética. Ela foi recentemente aconselhada a tomar Mecobalamina. Não tenho certeza de como isso a ajudará. Alguma ideia?
Qual é o SSRI mais limpo / seguro para ansiedade geral induzida por estresse?,Os SSRIs são o melhor tratamento para o estresse / ansiedade? Qual é o melhor?
Qual é o SSRI mais limpo / seguro para ansiedade geral induzida por estresse?,Por que fico ansiosa quando entro no elevador?
Qual é a definição ou descrição de: modificação de atividade?,Quanta atividade física um adulto deve fazer todos os dias?
Qual é a definição ou descrição de: modificação de atividade?,"Quais são alguns exercícios e mudanças no estilo de vida que posso fazer? Não tenho certeza, mas o médico me aconselhou ""modificação de atividade"". O que isso significa?"
O que é uma alergia a marisco tipo 1?,Existem diferentes tipos de alergia a mariscos? Fui diagnosticado com tipo 1. O que significa?
O que é uma alergia a marisco tipo 1?,Posso comer peixe no segundo trimestre de gravidez?
"O que devo fazer se eu tiver alergia a espirros ao acordar, diga-me que tipo de doença ou alergia é?",Limpei meu quarto e comecei a espirrar. O que eu posso aceitar?
"O que devo fazer se eu tiver alergia a espirros ao acordar, diga-me que tipo de doença ou alergia é?",Ultimamente tenho espirrado muito. Não tenho certeza se é apenas alergia ou algo grave. O que você acha?
Que exercícios específicos ajudariam na bursite suprapatelar?,Posso tomar algum medicamento para dor devido à bursite suprapatelar? Incapaz de exercer. :(
Que exercícios específicos ajudariam na bursite suprapatelar?,Ei doc! Meu médico me diagnosticou com bursite suprapatelar. Posso fazer algum exercício em casa?
"O que fazer se eu tiver hipertensão, depressão do amor perdido, quebrou completamente. o que fazer?","Recentemente, perdi meu emprego e o amor da minha vida. O RN que me viu ontem disse que tenho pressão alta. Serei diagnosticado com depressão?"
"O que fazer se eu tiver hipertensão, depressão do amor perdido, quebrou completamente. o que fazer?","Sempre que olho para as meninas, fico com palpitações e supernervoso. Acho que também tenho pressão alta quando isso acontece. Isso é normal?"
Quais hormônios são responsáveis ​​por dar a você traços masculinos em seu rosto?,Posso tomar alguns hormônios para deixar meu rosto mais masculino? Eu só quero impressionar minha namorada. : D
Quais hormônios são responsáveis ​​por dar a você traços masculinos em seu rosto?,As pílulas anticoncepcionais orais podem fazer com que a mulher pareça menos masculina?
Qual tratamento funciona melhor e mais rápido para a regurgitação aórtica?,Tenho dores no peito e dificuldade em respirar. Eu tenho uma doença cardíaca?
Qual tratamento funciona melhor e mais rápido para a regurgitação aórtica?,Meu relatório de ECO mostra regurgitação aórtica. Como isso é tratado? Já tenho um compromisso na sexta-feira.
Por que meu braço sempre adormece? Até o ponto em que não consigo movê-lo de jeito nenhum,Tenho dor de garganta e dormência no braço. Ambos estão relacionados?
Por que meu braço sempre adormece? Até o ponto em que não consigo movê-lo de jeito nenhum,É normal que meu braço fique dormente o tempo todo? Não consigo nem mexer. :(
Por que tenho uma pele com pigmentação branca ao redor do ânus e coceira extrema e bolhas ao redor do ânus e na fenda anal?,"Ei! Eu observei recentemente que a pele perto da nádega é branca e coça muito. Isso é normal? Se não, qual poderia ser a causa?"
Por que tenho uma pele com pigmentação branca ao redor do ânus e coceira extrema e bolhas ao redor do ânus e na fenda anal?,Não é o sexo anal a única razão para a transmissão do HIV?
"Tomar pílulas anticoncepcionais para o tratamento da dismenorréia afetará minha fertilidade mais tarde, depois de casado?",Tenho menstruações irregulares e tenho fortes dores durante a menstruação. Meu médico me prescreveu Sprintec. Meu namorado está um pouco preocupado com os efeitos de longo prazo. Seremos capazes de conceber quando eu parar?
"Tomar pílulas anticoncepcionais para o tratamento da dismenorréia afetará minha fertilidade mais tarde, depois de casado?",Os períodos dolorosos são comuns com as pílulas anticoncepcionais?
"Mulher de 35 anos sem problemas cardíacos, dor aguda no peito / coração. Dura apenas um minuto. Acessos a qualquer momento ao dirigir sentado me tira o fôlego, acontecendo mais?",Como ocorre um ataque cardíaco em uma mulher de 36 anos?
"Mulher de 35 anos sem problemas cardíacos, dor aguda no peito / coração. Dura apenas um minuto. Acessos a qualquer momento ao dirigir sentado me tira o fôlego, acontecendo mais?","Dores no peito de curta duração, mas agudas há algumas semanas, sem história anterior de doença cardíaca / torácica podem indicar algo sério?"
"Um médico prescreveu 12,5 mg de voren supp para meu filho de 3 anos para febre. O voren não é usado para inflamação pós-operatória?",O voren usado para inflamação pós-operatória também pode ser prescrito para febre em crianças?
"Um médico prescreveu 12,5 mg de voren supp para meu filho de 3 anos para febre. O voren não é usado para inflamação pós-operatória?","Meu filho de 3 anos está com febre alta há 2 dias, o que devo fazer?"
"Depois que tive relações sexuais com o marido, percebi sangue fresco e uma sensação de queimação e vontade de urinar. O que pode ser a causa?","Estou grávida de 9 semanas e acabei de sangrar hoje, depois do sexo. é perigoso? Meu bebê ficará bem?"
"Depois que tive relações sexuais com o marido, percebi sangue fresco e uma sensação de queimação e vontade de urinar. O que pode ser a causa?","Ok, então primeiro, isso nunca aconteceu antes. Mas depois de fazer isso com meu marido hoje, estou com algum sangramento, coceira e vontade de fazer xixi! É uma UTI?"
"Após duas semanas de cirurgia oral, minha bochecha ainda está inchada e sinto caroços duros na parte inferior. Também coça do lado de fora. Socorro?",O inchaço da bochecha e a leve coceira são normais após 2 semanas de cirurgia oral?
"Após duas semanas de cirurgia oral, minha bochecha ainda está inchada e sinto caroços duros na parte inferior. Também coça do lado de fora. Socorro?",Qual é o tempo de recuperação esperado após uma cirurgia oral? Quando poderei ter uma vida normal e uma dieta normal?
"Sempre uso anticoncepcional, sempre uso camisinha com espermicida, sempre retire com camisinha, mas minha menstruação está atrasada. Estresse da faculdade ou gravidez?","Eu sempre protegi o sexo, mas minha menstruação ainda está atrasada, posso estar grávida?"
"Sempre uso anticoncepcional, sempre uso camisinha com espermicida, sempre retire com camisinha, mas minha menstruação está atrasada. Estresse da faculdade ou gravidez?",Perdi meus comprimidos por 2 dias seguidos ... Posso engravidar por causa disso?
Algum exame de sangue confiável para câncer de ovário?,É possível detectar o câncer de ovário com um exame de sangue?
Algum exame de sangue confiável para câncer de ovário?,Qual é o teste padrão ouro para detectar câncer de ovário?
"Tem sentido muitas dores no peito ultimamente, especialmente quando me sento em certas posições?",A ansiedade pode causar dor no peito?
"Tem sentido muitas dores no peito ultimamente, especialmente quando me sento em certas posições?","O que pode causar dor no peito, especialmente ao sentar-se em determinada posição?"
Tenho tido essa sensibilidade e dor no peito por quase semanas ... Não estou grávida também. O que pode ser?,"Oi! Eu sou uma mulher de 24 anos e estou sentindo algumas dores nos meus seios, em ambos os lados, há alguns meses. Não sou sexualmente ativo atualmente. Por que a dor então?"
Tenho tido essa sensibilidade e dor no peito por quase semanas ... Não estou grávida também. O que pode ser?,A dor e sensibilidade nos seios são um sinal de câncer de mama?
Mudanças limítrofes na RM do cérebro em 1 ano sendo encaminhado a um neurorradiologista isso significa algo sinistro?,Sou um homem de 50 anos e meu PCP acaba de me informar que minha última ressonância magnética detectou algumas alterações cerebrais que não existiam há um ano e me encaminhou para um neurorradiologista. Eu estou morrendo?
Mudanças limítrofes na RM do cérebro em 1 ano sendo encaminhado a um neurorradiologista isso significa algo sinistro?,"Que tipo de mudanças são normais com a idade, conforme visto em uma ressonância magnética do cérebro?"
"Ambos os braços anestesiados, sem dor no peito, apenas um pouco tonta. E um pouco de azia, tenho gastrite e artrite nas costas.","Tenho sentido dormência bilateral no braço, tontura, azia, mas nenhuma dor no peito. O que isso poderia significar?"
